                  0         1         2         3         4         5         6         7         8
021020010  0.000000 -0.100000 -0.100000  0.000000 -0.100000  0.000000  0.000000 -0.100000  0.000000
121020012 -0.100000 -0.100000  0.000000  0.000000 -0.100000  0.169953  0.000000  0.000000 -0.100000
121221012  0.000000  0.000000  0.000000 -0.100000  0.000000  0.000000  0.445291 -0.061079  0.000000
001020120  0.000000  0.000000 -0.100000  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000
011020122  0.000000 -0.100000  0.000000 -0.100000 -0.100000  0.000000  0.000000  0.000000 -0.100000
002010000  0.000000  0.000000 -0.100000  0.008100  0.000000  0.000000  0.000000  0.000000  0.000000
022010100  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
022012101  0.000000  0.000000 -0.100000  0.000000  0.000000  0.000000 -0.100000  0.100000  0.000000
000002100  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
000212100  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.100000  0.000000  0.000000
100212102 -0.100000 -0.090000  0.100000  0.000000 -0.100000 -0.100000 -0.100000  0.000000 -0.100000
200000100 -0.190000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
220100100  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.100000 -0.100000
102000000 -0.266840  0.037308 -0.175573  0.047634  0.026734  0.000729  0.056034  0.000000  0.726788
102201000  0.000000  0.000770  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000  0.000000
122211000  0.000000  0.000000 -0.100000 -0.100000  0.000000 -0.100000  0.000000  0.000000  0.100000
122211012  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000  0.095000 -0.190000  0.000000
000200010  0.006014  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.100000  0.000000
201200010 -0.100000  0.000000 -0.100000  0.000000  0.000000 -0.100000  0.000000  0.000000  0.000000
020000010  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
020002011  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.100000 -0.100000
120202011 -0.100000 -0.100000  0.000000 -0.100000  0.833228  0.000000  0.000000 -0.100000 -0.100000
010200000  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
110200020 -0.188534  0.000000  0.100000 -0.221838  0.000000  0.009000  0.000000  0.000000  0.573286
110202021  0.000000 -0.100000  0.849905  0.000000  0.000000 -0.100000  0.000000  0.000000 -0.100000
000100020  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.190000  0.000000
020100021  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
020101221  0.000000  0.000000  0.000000  0.000000  0.100000  0.000000  0.000000  0.000000  0.000000
010000002  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.100000
110000022 -0.100000 -0.106461  0.990302 -0.003078  0.000000  0.000000  0.069411 -0.104710  0.000000
110200122 -0.100000  0.000000  0.100000  0.000000  0.000000  0.000000 -0.100000  0.000000  0.000000
120002100 -0.100000 -0.100000  0.000000  0.000000  0.000000 -0.100000  0.000000  0.000000  0.000000
120212100 -0.100000  0.000000  0.000000 -0.100000  0.000000 -0.100000  0.000000  0.000000  0.100000
120212112  0.000000  0.000000  0.050000  0.000000  0.000000  0.000000 -0.100000  0.000000 -0.100000
000100002  0.000000  0.000000  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000 -0.100000
100100022 -0.189271 -0.093075 -0.025745 -0.100000  0.017100  0.009000  0.993637 -0.100000 -0.104710
112100022 -0.187882 -0.100000 -0.100000 -0.100000 -0.100000  0.056734  0.000000 -0.100000 -0.100000
000010200  0.000000  0.000000  0.000000  0.008100 -0.100000  0.000000 -0.100000  0.000000  0.000000
